Arabic	English
أنا لست مثلي الجنس، لكن أصدقائي الذكور مثليون	i am not gay, but my boyfriend is.
أنا لست مستعجلا.	i'm not in a hurry.
أنا لست معتاده علي العمل في الخارج.	i'm not used to working outside.
أنا لست معتاد علي العمل في الخارج.	i'm not used to working outside.
أنا لست من تبحثين عنه	i'm no good for you.
أنا لست من هنا.	i'm not from here.
أنا لست موسوسا ، أنهم يتبعونني حقا!	i'm not paranoid, they do follow me!
إن السياسي العربي الإسرائيلي أحمد طيبي يساند حركه المقاطعه و سحب الاستثمار و العقوبات.	the arab israeli politician ahmad tibi supports the bds movement.
إن الشاي المتوفر في مكتبي غير جيد، إذا فأنا لا أشربه.	the tea at my office isn't good, so i don't drink it.
إن الشرطه هنا.	the cops are here.
إن الطبيب الوحيد الذي في الخدمه هو جمال صادق.	the only doctor on duty is jamal sadiq.
إن الطريق سيكون طويلا. وصعود المنحدر شاقا. وربما لا نصل إليه خلال عام واحد، بل ولا خلال ولايه رئاسيه. لكنني أقول إليك أمريكا، إنه لم يسبق لي أن كنت مفعما بالأمل ببلوغ نهايه هذا الطريق مثلما أنا مفعم به اليوم.	the road ahead will be long. our climb will be steep. we may not get there in one year or even in one term. but, america, i have never been more hopeful than i am tonight that we will get there.
إن الطقس حار للغايه.	it's too hot.
إن الفلسطينيين ليسوا إرهابيين.	the palestinians are not terrorists.
إن الفلسطينيين يعانون بشكل لا يحتمل في قطاع غزه و الضفه الغربيه.	the palestinians are suffering unbearably in gaza and the west bank.
إن القائمه كما يلي.	the list is as follows.
إن القط يشرب حليبك.	the cat is drinking your milk.
إن الكتاب سهل.	the book is easy.
إن الكلمات لوحدها لا تستطيع سد احتياجات شعوبنا ولن نسد هذه الاحتياجات إلا إذا عملنا بشجاعه علي مدي السنين القادمه وإذا أدركنا حقيقه أن التحديات التي نواجهها هي تحديات مشتركه وإذا أخفقنا في التصدي لها سوف يلحق ذلك الأذي بنا جميعا	words alone cannot meet the needs of our people. these needs will be met only if we act boldly in the years ahead; and if we understand that the challenges we face are shared, and our failure to meet them will hurt us all.
إن اللغه الألبانيه جميله جدا.	the albanian language is very beautiful.
إن الله يحب سامي.	god loves sami.
أنا لم أر شيئا مثل هذا.	i've never seen anything like that.
أنا لم أرك في حفله الكوكتيل الإسبوع الماضي.	i didn't see you at my cocktail party last weekend.
أنا لم أري شيئا مثل ذلك.	i've never seen anything like that.
أنا لم أسمع المنبه.	i didn't hear my alarm clock.
أنا لم أعد أعيش هنا.	i no longer live here.
انا لم اغسل شعري .	i haven't washed my hair.
أنا لم أفعل أي شيء غير قانوني.	i didn't do anything illegal.
إن المسأله الأولي التي يجب أن نجابهها هي التطرف العنيف بكافه أشكاله.	the first issue that we have to confront is violent extremism in all of its forms.
إن المكان مزدحم، دعنا نستقل القطار القادم.	it's crowded, so let's take the next train.
أن الممرضه المسؤوله عن هذا الطابق. نادني في حال احتجتني.	i'm the duty nurse of this floor. if you need me, just call me.
أنا لن أخبر توم.	i'm not going to tell tom.
أنا لن أطلب منك شيء	i don't ask you for anything.
أنا لن أطلب منك شيء	i won't ask you for anything.
أنا لن ألومه علي الحادث.	i will not blame him for the accident.
أنا لو أصبحت غنيا, سوف أشتريه.	if i get rich, i will buy it.
أنا لوحدي.	i'm alone.
أنا ليلي، زوجه سامي.	i'm layla, sami's wife.
أنا ما زلت أبحث عن وظيفه.	i'm still looking for a job.
أنا مازلت أحاول ان أعزف علي الجيتار مثل إريك كلابتون.	i'm still trying to play guitar like eric clapton.
أنا ما زلت هنا.	i'm still here.
أنا ما شربت الماء.	i didn't drink the water.
أنا متأثره كثيرا.	i'm so moved.
أنا متأثر كثيرا.	i'm so moved.
أنا متأسف.	i'm sorry.
أنا متأكد أن توم سيكون هنا قريبا.	i'm sure tom will be here soon.
أنا متأكد أن توم ممل.	i'm sure tom is bored.
أنا متأكد أن سامي لا يستطيع تكلم العربيه.	i'm pretty sure that sami can't speak arabic.
أنا متأكد أنك محقه.	i'm sure you're right.
أنا متأكد أنك مخطئ.	i'm sure you're mistaken.
أنا متأكد أنه سيستقيل من منصبه.	i am certain that he will quit his job.
أنا متأكد أني سأجد هديه جيده لتوم.	i'm sure i'll find a good gift for tom.
أنا متأكد أني سأكون بخير.	i'm sure i'll be fine.
أنا متأكده أن توم سيكون هنا قريبا.	i'm sure tom will be here soon.
أنا متأكده أنك محق.	i'm sure you're right.
أنا متأكده أنك مخطئه.	i'm sure you're mistaken.
أنا متأكد من أنها ستعود قريبا.	i'm sure she will return soon.
أنا متحكم في نفسي كي لا أفقد صوابي.	i'm controlling myself not to lose my head.
أنا متحمس جدا. نحن ذاهبون إلي الشاطئ اليوم.	i'm so excited. we're going to the beach today.
أنا متحمس لبلوغ الثامنه عشر.	i can't wait turning 18.
أنا متزوج.	i am married.
أنا متزوج.	i'm married.
أنا متزوجه.	i am married.
أنا متزوجه و لدي أطفال.	i'm married and i have children.
أنا متزوج و لدي أطفال.	i'm married and i have children.
أنا متعب. أعتقد أنني سأخلد إلي السرير.	i'm tired; i think i'm going to go to bed.
أنا متعبه جدا اليوم.	today i am very tired.
أنا متعب جدا.	i am so exhausted!
أنا متعب جدا.	i'm really tired.
انا متعب جدا لكي امشي اكثر من ذلك .	i'm too tired to walk any further.
أنا متعب كثيرا الليله.	i feel very tired tonight.
أنا متعب. لقد كان يوما طويلا.	i'm tired. it's been a long day.
أنا متفرغ الآن	i'm free now.
أنا مثلك تماما.	i'm just like you.
أنا مثلي الجنس.	i'm a homosexual.
أنا مثلي الجنس	i'm gay.
أنا مثلي الجنس، إذا ؟	i'm gay, so?
أنا، مثلي، انظر قلبي	i, gay, view my heart.
أنا مجرد موظف كأي موظف.	i'm just a plain old office worker.
أنا مجريه.	i am hungarian.
انا محتار, اهذا الطريق صحيح ام هذا؟	i'm confused: is this or that the right way?
انا محظوظ.	i'm lucky.
أنا محق، أليس كذلك؟	i'm right, aren't i?
أنا مدرس بديل.	i'm a substitute teacher.
أنا مدرسه.	i am a teacher.
أنا مدرس للعربيه.	i'm an arabic teacher.
أنا مدعو لرحله الشركه.	i'm invited to the company picnic.
أنا مدمن علي ترجمه الجمل من الفرنسيه إلي الإنجليزيه في تتويبا، واللغه الإسبانيه تغريني بشده.	i'm addicted to translating sentences from french into english on tatoeba, and spanish is tempting me sorely.
أنا مدير هذه العياده.	i'm the director of this clinic.
أنا مدين لتوم بإعتذار.	i owe tom an apology.
انا مذهول و منحرج ، بأنك لم تنهار ، منذ ان كنت تحمل الابيات المضجره من الكثير من الاشعار .	i'm astonished, wall, that you haven't collapsed into ruins, since you're holding up the weary verse of so many poets.
أنا مريض.	i am sick.
أنا مريض.	i feel sick.
أنا مستريح في المنزل.	i'm home, resting.
أنا مستعده.	i'm ready.
أنا مستعد دائما للموت.	i'm always ready for death.
أنا مستعد للأسبوع المقبل.	i'm ready for next week.
أنا مستعد. وأنت؟	i'm ready. and you?
أنا مسرور لعدم وجودي هناك.	i'm glad i wasn't here.
انا مسرور للذهاب الي مزرعته خلال العطله الصيفيه .	i delighted in going to his farm during the summer vacation.
أنا مسرور لوجودك هنا معي.	i'm glad you're here with me.
أنا مسلم	i am a muslim.
أنا مسؤول عن حمايتها.	i'm responsible for protecting her.
أنا مسيحي، أما هو فإنه بودي.	i am christian, but he is buddhist.
أنا مشتاق إليك جدا.	i miss you badly.
أنا مشغول.	i'm busy.
أنا مشغول.	i'm not free.
أنا مشغول الأن.	i am busy now.
إن أمطرت فلن أذهب.	in case it rains, i won't go.
أنا معك.	i'm with you.
أنا معك هنا الآن	now i'm here with you.
أنا مغرمه برجل آخر.	i'm in love with someone else.
إن أم فاضل تحب أشياء كهذه.	fadil's mom loves things like that.
أنا مقتنع أنه بريء.	i am convinced of his innocence.
أنا مقتنع أنه بريء.	i am convinced that he is innocent.
أنا ممتن للغايه لمساعدتك.	i'm very grateful for your help.
أنا من البرازيل	i come from brazil.
أنا من البرازيل.	i'm from brazil.
أنا من الجزائر وأتكلم الأمازيغيه بطلاقه.	i am from algeria and i speak berber fluently.
أنا من الصين.	i am from china.
أنا من اليونان.	i'm from greece.
أنا من إنجلترا.	i'm from england.
أنا من بلغاريا.	i'm from bulgaria.
أنا من تركيا.	i'm from turkey.
أنا من تسبب بهذه الفوضي و سأنظفها.	i caused this mess, so i'll clean it up.
أنا من جورجيا.	i'm from georgia.
أنا منحت توم فرصه للعمل معي.	i gave tom a chance to work with me.
أنا من روسيا.	i am from russia.
أنا من رومانيا.	i'm from romania.
أنا من زامبيا.	i'm from zambia.
أنا من سابورو.	i'm from sapporo.
أنا من شزوكا.	i am from shizuoka.
